instance,algorithm,seed,objv,lb,bkv,bklb,first_release_time,last_release_time
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,IBS,8,476.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,IBS,5,475.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,IBS,6,474.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,IBS,7,474.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,IBS,2,474.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,IBS,3,475.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,IBS,4,475.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,IBS,9,474.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,CUTH,7,715.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,CUTH,8,715.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,CUTH,3,715.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,CUTH,6,715.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,CUTH,9,715.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,CUTH,1,715.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,CUTH,5,715.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,CUTH,10,715.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,CUTH,4,715.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,CUTH,2,715.0,0.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,LBBD,1,900.0,352.0,474.0,376.0,Early,Late
Medium_Moderate_Light_High_Moderate_Moderate_Early_Late_123,LBBD,4,890.0,358.0,474.0,376.0,Early,Late
