instance,algorithm,seed,objv,lb,bkv,bklb,delay,num_resources
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,CUTH,4,761.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,LBBD,9,882.0,157.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,LBBD,1,826.0,215.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,LBBD,4,878.0,182.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,LBBD,7,870.0,185.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,LBBD,2,877.0,210.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,LBBD,8,882.0,137.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,LBBD,6,900.0,164.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,LBBD,5,884.0,187.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,LBBD,3,887.0,179.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,LBBD,10,900.0,176.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,ILS,5,892.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,ILS,8,868.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,ILS,7,890.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,ILS,2,895.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,ILS,9,891.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,ILS,4,890.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,ILS,6,783.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,ILS,3,855.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,ILS,10,898.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,ILS,1,879.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Medium_Many_Moderate_Early_VeryLate_123,RS,1,852.0,0.0,398.0,215.0,Medium,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,1,553.0,313.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,4,527.0,309.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,2,527.0,309.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,6,537.0,313.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,10,509.0,307.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,7,527.0,269.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,9,595.0,313.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,8,535.0,306.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,3,504.0,312.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,MIP,5,549.0,304.0,504.0,313.0,Low,Many
Medium_Moderate_Light_Low_Many_Moderate_Early_VeryLate_123,IBS,6,559.0,0.0,504.0,313.0,Low,Many
